fecha,total_1ra_y_2da_dosis_aplicadas
2022-02-13,77219
2022-02-14,230682
2022-02-15,218161
2022-02-16,216445
2022-02-17,212392
2022-02-18,216395
2022-02-19,88623
2022-02-20,53983
2022-02-21,204157
2022-02-22,204618
2022-02-23,206955
2022-02-24,172422
2022-02-25,207368
2022-02-26,72791
2022-02-27,35239
2022-02-28,44973
2022-03-01,43921
2022-03-02,134374
2022-03-03,127680
2022-03-04,125613
2022-03-05,58583
2022-03-06,54892
2022-03-07,152834
2022-03-08,104244
2022-03-09,119659
2022-03-10,116873
2022-03-11,127937
2022-03-12,57010
2022-03-13,28329
2022-03-14,106072
2022-03-15,126515
2022-03-16,119850
2022-03-17,115224
2022-03-18,123975
2022-03-19,67245
2022-03-20,31810
2022-03-21,117098
2022-03-22,108465
2022-03-23,117191
2022-03-24,24262
2022-03-25,111587
2022-03-26,49595
2022-03-27,21954
2022-03-28,107186
2022-03-29,95978
2022-03-30,93183
2022-03-31,97833
2022-04-01,88571
2022-04-02,24701
2022-04-03,14627
2022-04-04,76820
2022-04-05,74179
2022-04-06,66977
2022-04-07,64270
2022-04-08,73585
2022-04-09,29172
2022-04-10,12638
2022-04-11,67334
2022-04-12,68592
2022-04-13,74625
2022-04-14,22259
2022-04-15,12263
2022-04-16,22773
2022-04-17,6922
2022-04-18,91121
2022-04-19,99506
2022-04-20,111782
2022-04-21,106109
2022-04-22,112954
2022-04-23,42723
2022-04-24,17384
2022-04-25,114721
2022-04-26,106246
2022-04-27,113659
2022-04-28,127583
2022-04-29,129390
2022-04-30,45945
2022-05-01,1042
2022-05-02,108050
2022-05-03,122699
2022-05-04,127443
2022-05-05,149733
2022-05-06,149767
2022-05-07,56691
2022-05-08,29523
2022-05-09,153257
2022-05-10,173097
2022-05-11,156986
2022-05-12,162439
2022-05-13,198773
2022-05-14,86926
2022-05-15,41270
2022-05-16,172886
2022-05-17,203202
2022-05-18,2326
2022-05-19,190911
2022-05-20,203544
2022-05-21,108587
2022-05-22,50552
2022-05-23,218290
2022-05-24,202529
2022-05-25,33138
2022-05-26,203769
2022-05-27,223514
2022-05-28,110710
2022-05-29,57323
2022-05-30,192319
2022-05-31,181168
2022-06-01,150459
2022-06-02,154249
2022-06-03,169710
2022-06-04,41607
2022-06-05,17760
2022-06-06,137750
2022-06-07,131505
2022-06-08,133937
2022-06-09,132660
2022-06-10,145624
2022-06-11,36355
2022-06-12,16874
2022-06-13,127657
2022-06-14,137705
2022-06-15,133986
2022-06-16,140987
2022-06-17,23115
2022-06-18,25887
2022-06-19,1240
2022-06-20,17038
2022-06-21,108532
2022-06-22,101953
2022-06-23,99888
2022-06-24,108116
2022-06-25,27448
2022-06-26,17149
2022-06-27,59357
2022-06-28,90993
2022-06-29,80677
